CPU_PIN,IRQ,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19,AF20,AF21,AF22,AF23,AF24,AF25,AF26,AF27,AF28,AF29,AF30,AF31
P601,IRQ29,,,GPT:GTIOC6A,SCI:SCK0_B:B,,,,,RTC/CLKOUT/ACMPHS/ETHPHYCLK:RTCOUT,,,,SCI:DE0,,,,,,,,,,,,,,,OSPI:OM_0_WP1,,ULPT:ULPTEVI0,
P700,IRQ16-DS,,,GPT:GTIOC5A,SCI:RXD2_B/SCL2_B/MISO2_B:B,,SPI:MISOA_C:C,,,,,,,,,CEU:VIO_D4,,,SSIE:SSIDATA1_B:B,,,SDHI:SD1WP,ESWM(GMII/MII):ET0_RXD2,,ESWM(RGMII):RGMII0_RXD2,,,,,,,
P701,IRQ17-DS,,,GPT:GTIOC5B,SCI:CTS_RTS2_B/SS2_B:B,,SPI:MOSIA_C:C,,,,,,,SCI:DE2,,CEU:VIO_D5,,,SSIE:SSILRCK1/SSIFS1_B:B,,,SDHI:SD1DAT4_B:B,ESWM(GMII/MII):ET0_RXD1,ESWM(RMII):RMII0_RXD1,ESWM(RGMII):RGMII0_RXD1,,,,,,ULPT:ULPTO1,
P702,IRQ18-DS,,,GPT:GTIOC6A,SCI:CTS2_B:B,,SPI:RSPCKA_C:C,,,,,,,,,CEU:VIO_D6,,,SSIE:SSIBCK1_B:B,,,SDHI:SD1DAT5_B:B,ESWM(GMII/MII):ET0_RXD0,ESWM(RMII):RMII0_RXD0,ESWM(RGMII):RGMII0_RXD0,,,,,,ULPT:ULPTO0,
P703,IRQ19-DS,AGT:AGTO1,,GPT:GTIOC6B,,,SPI:SSLA0_C:C,,,RTC/CLKOUT/ACMPHS/ETHPHYCLK:VCOUT,,,,,,CEU:VIO_D7,,,,,,SDHI:SD1DAT6_B:B,ESWM(GMII/MII):ET0_RX_CLK,ESWM(RMII):RMII0_REF50CK,ESWM(RGMII):RGMII0_RXC,,,PDMIF:PDMCLK0,,,,
P704,IRQ26,AGT:AGTO0,GPT:GTADSM0,GPT:GTCPPO0,,,SPI:SSLA1_C:C,,,,,,,,,CEU:VIO_D8,CANFD:CTX0,,,,,SDHI:SD1DAT7_B:B,ESWM(GMII/MII):ET0_RX_ER,ESWM(RMII):RMII0_RX_ER,,,,PDMIF:PDMCLK1,,,,
P705,IRQ19,AGT:AGTIO0,GPT:GTADSM1,GPT:GTCPPO1,,SCI:CTS1_B:B,SPI:SSLA2_C:C,,,,,,,,,CEU:VIO_D9,CANFD:CRX0,,,,,,ESWM(GMII/MII):ET0_TX_EN,ESWM(RMII):RMII0_TX_EN,ESWM(RGMII):RGMII0_TX_CTL,,,PDMIF:PDMCLK2,,,,
P706,IRQ7,AGT:AGTIO0,,GPT:GTCPPO2,,SCI:RXD1_B/SCL1_B/MISO1_B:B,,,,RTC/CLKOUT/ACMPHS/ETHPHYCLK:ETHPHYCLK,,,,,,CEU:VIO_D10,,,,,USBHS:USBHS_OVRCURB-DS,,ESWM(GMII/MII):ET0_GTX_CLK,,ESWM(RGMII):RGMII0_TXC,,,PDMIF:PDMDAT0,,,,
P707,IRQ8,,,GPT:GTCPPO3,,SCI:TXD1_B/SDA1_B/MOSI1_B:B,,,,RTC/CLKOUT/ACMPHS/ETHPHYCLK:ETHPHYCLK,,,,,,CEU:VIO_D11,,,,,USBHS:USBHS_OVRCURA-DS,,ESWM(GMII/MII):ET0_TX_ER,,,GLCDC:LCD_DATA18_B:B,,PDMIF:PDMDAT1,,,,
P708,IRQ11,,,GPT:GTCPPO6,SCI:SCK4_B:B,,SPI:MOSIB_B:B,IIC/I3C:SDA2_A:A,,,CAC/ADC16H:CACREF,BUS:WR1/BC1,,SCI:DE4,,CEU:VIO_VD,,,SSIE:AUDIO_CLK,,,,ESWM(GMII/MII):ET0_MDC,,,,,,,,,
P709,IRQ10,,,GPT:GTCPPO5,SCI:CTS_RTS4_B/SS4_B:B,,SPI:MISOB_B:B,IIC/I3C:SCL2_A:A,,,,BUS:CS4,,SCI:DE4,,CEU:VIO_D13,,,,,,,ESWM(GMII/MII):ET0_MDIO,,,,,,,,,
P710,IRQ17,,,GPT:GTIOC11B,SCI:CTS4_B:B,,SPI:SSLB3_B:B,,,,,BUS:CS5,,,,CEU:VIO_D12,,,,,,,ESWM(GMII/MII):ET0_LINKSTA,,,GLCDC:LCD_EXTCLK_B:B,,,,,,
